Activity_ID,ActivityNumber,ActivityName,SeasonName,ChildSeasonName,Type,CategoryName,OtherCategoryName,RiskCategoryName,EnrollMin,EnrollMax,NumberEnrolled,BeginningDate,EndingDate,StartingTime,EndingTime,AgesMin,AgesMinMonth,AgesMinWeek,AgesMax,AgesMaxMonth,AgesMaxWeek,GradeMin,GradeMax,WeekDays,PrimaryInstructorName,NumberOfHours,NumberOfDates,ActivityLocation,FeeDescription,AccountName,KeyFeesTotal,OtherFeesTotal,FeeSummary,Description,PublicURL
67076,72895,Homeschool: Life in Medieval England,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Teen,,5,10,8,1/8/2025,3/12/2025,10:00 AM,10:55 AM,8,0,0,15,0,0,,,W,,7.333,8,Loyal Heights CC Room 04 at Loyal Heights Community Center,Activity Fee,LH Class Youth Recreation,95,0,Standard charge: $95.00,"Explore the fascinating world of medieval England in this engaging class! Discover daily life, customs, and social structures from the Norman Conquest to the Tudor period. Perfect for history enthusiasts! (www.loyalheightshomeschool.org) (No class 2/5 & 2/19)",http://apm.activecommunities.com/seattle/Activity_Search/67076
67077,72896,Homeschool: Multisport Sampler,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Teen,,5,9,8,1/8/2025,3/12/2025,10:00 AM,10:55 AM,8,0,0,13,0,0,,,W,,8.25,9,Loyal Heights CC Gym at Loyal Heights Community Center,Activity Fee,LH Class Youth Recreation,100,0,Standard charge: $100.00,"We will sample a variety of team sports like soccer, basketball, ultimate frisbee, kickball and more. Students will learn to work as a team, good sportsmanship, and the skills for many different sports while having fun and exercising. (www.loyalheightshomeschool.org) (No class 2/19)",http://apm.activecommunities.com/seattle/Activity_Search/67077
67867,73686,Homeschool: Active Games (ages 7-12),Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,12,2,1/6/2025,3/10/2025,2:00 PM,2:55 PM,7,0,0,13,0,0,,,M,,7.333,8,Van Asselt CC Multi-Purpose Room at Van Asselt Community Center,Activity Fee,VA Class Youth Recreation,85,0,Standard charge: $85.00,Come join us for some low-key active and cooperative games!    No class 1/20 & 2/17,http://apm.activecommunities.com/seattle/Activity_Search/67867
67226,73045,Homeschool: Beginning Spanish (ages 4 and up),Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,12,10,1/6/2025,3/10/2025,1:00 PM,1:55 PM,4,0,0,18,0,0,,,M,,7.333,8,Van Asselt CC Multi-Purpose Room- 1/2 No at Van Asselt Community Center,Activity Fee,VA Class Youth Recreation,85,0,Standard charge: $85.00,"Are you interested in Spanish? Join us! Whether you're brand new or experienced leaner, come play games, do art, read books, and listen to music with us as we all learn more Spanish together. We will find a place for you in this class no matter your age or experience level.No class 1/20 & 2/17",http://apm.activecommunities.com/seattle/Activity_Search/67226
67081,72900,Homeschool: Creative Art,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,8,5,1/8/2025,3/12/2025,1:30 PM,2:25 PM,5,0,0,9,0,0,,,W,,9.167,10,Loyal Heights CC Room 04 at Loyal Heights Community Center,Activity Fee,LH Class Youth Recreation,100,0,Standard charge: $100.00,Let?s have an adventure exploring different styles of art and art media. Priority will be placed on process over product and on meeting each child where they are in their personal and artistic development. I look forward to making art together! (www.loyalheightshomeschool.org) (No class 2/19),http://apm.activecommunities.com/seattle/Activity_Search/67081
68410,74229,Homeschool: Ink & Imagination: A Creative Writing Workshop,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,12,5,1/6/2025,3/10/2025,1:00 PM,1:55 PM,9,0,0,18,0,0,,,M,,7.333,8,Van Asselt CC Flex Room at Van Asselt Community Center,Activity Fee,VA Class Youth Recreation,85,0,Standard charge: $85.00,"Dive into the world of creative writing! Explore different forms of poetry and prose, get inspired to create memorable characters and dialogue, and share your work with fellow writers while you practice storytelling skills. Join us and let your imagination soar!No class 1/20 & 2/17",http://apm.activecommunities.com/seattle/Activity_Search/68410
67934,73753,Homeschool: Microbes (ages 6-8),Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,12,4,1/6/2025,3/10/2025,1:00 PM,1:55 PM,6,0,0,9,0,0,,,M,,7.333,8,Van Asselt CC Multi-Purpose Room- 1/2 So at Van Asselt Community Center,Activity Fee,VA Class Youth Recreation,85,0,Standard charge: $85.00,"Do you know what makes yogurt taste sour or what causes colds? Whether you don't or you have a favorite fungus, come learn about the microscopic world!No class 1/20 & 2/17",http://apm.activecommunities.com/seattle/Activity_Search/67934
67866,73685,Homeschool: Preschool Reading & Play (ages 3-6),Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,12,4,1/6/2025,2/10/2025,12:00 PM,12:55 PM,3,0,0,7,0,0,,,M,,4.583,5,Van Asselt CC Multi-Purpose Room at Van Asselt Community Center,Activity Fee,VA Class Youth Recreation,85,0,Standard charge: $85.00,Come join us for reading and playtime!No class 1/20 & 2/17,http://apm.activecommunities.com/seattle/Activity_Search/67866
67931,73750,Homeschool: Table Games (ages 6 and up),Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,12,7,1/6/2025,3/10/2025,12:00 PM,12:55 PM,6,0,0,18,0,0,,,M,,7.333,8,Van Asselt CC Flex Room at Van Asselt Community Center,Activity Fee,VA Class Youth Recreation,85,0,Standard charge: $85.00,"Join us for a fun-filled session of board and card games! This club is all about making new friends, exploring strategies, and enjoying classic and modern games together. Whether you're a seasoned player or new to the world of table games, there's something for everyone. We'll bring our selection of go-to games, and you can bring your favorites to share. Let's roll the dice and game on! No class 1/20 & 2/17",http://apm.activecommunities.com/seattle/Activity_Search/67931
67080,72899,Homeschool: YE: Building Skills & Executive Function Master,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,8,8,1/8/2025,3/12/2025,2:30 PM,3:25 PM,8,0,0,13,0,0,,,W,,9.167,10,Loyal Heights CC Room 04 at Loyal Heights Community Center,Activity Fee,LH Class Youth Recreation,120,0,Standard charge: $120.00,"Join our hands-on engineering class! Build with Snap Circuits, geared marble runs, and more while developing executive function skills like planning, problem-solving, teamwork, and perseverance. Parent participation is encouraged to enhance learning and fun! (loyalheightshomeschool.com) (No class 2/19)",http://apm.activecommunities.com/seattle/Activity_Search/67080
68324,74143,Robotics & Coding Classes,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,15,4,2/1/2025,2/15/2025,12:45 PM,2:45 PM,6,0,0,14,0,0,,,Sa,,6,3,Meadowbrook CC Multi-Purpose Room - Larg at Meadowbrook Community Center,Activity Fee,MB Class Youth Recreation,248,0,Standard charge: $248.00,"This class will introduce young minds to the exciting world  of robotics and coding. We'll explore the fundamentals using age-appropriate  building materials and focus on core concepts like motion, sensors, and basic  coding. Through engaging activities, students will build robots using motors,  axles, and IR sensors, learning how to program them to navigate obstacles and  complete simple tasks.",http://apm.activecommunities.com/seattle/Activity_Search/68324
67348,73167,Tutoring Thursdays (5-10 yrs) - 4:30 Session 1,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,6,1,1/16/2025,2/13/2025,4:30 PM,5:30 PM,5,0,0,11,0,0,,,Th,,5,5,Meadowbrook CC Room 22 - Medium at Meadowbrook Community Center,Activity Fee,MB Class Youth Recreation,60,0,Standard charge: $60.00,"Get the extra support  for reading, writing, and spelling you need to succeed! Bring in your favorite book,  workbook, or spelling list and we'll work together to boost confidence in a fun  and judgement free zone. Paper, pencils, and some reading material will also be  available.",http://apm.activecommunities.com/seattle/Activity_Search/67348
67349,73168,Tutoring Thursdays (5-10 yrs) - 4:30 Session 2,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,6,0,2/20/2025,3/27/2025,4:30 PM,5:30 PM,5,0,0,11,0,0,,,Th,,5,5,Meadowbrook CC Room 22 - Medium at Meadowbrook Community Center,Activity Fee,MB Class Youth Recreation,60,0,Standard charge: $60.00,"Get the extra support  for reading, writing, and spelling you need to succeed! Bring in your favorite book,  workbook, or spelling list and we'll work together to boost confidence in a fun  and judgement free zone. Paper, pencils, and some reading material will also be  available.",http://apm.activecommunities.com/seattle/Activity_Search/67349
67346,73165,Tutoring Thursdays (5-10yrs) - 3:30 Session 1,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,6,3,1/16/2025,2/13/2025,3:30 PM,4:30 PM,5,0,0,11,0,0,,,Th,,5,5,Meadowbrook CC Room 22 - Medium at Meadowbrook Community Center,Activity Fee,MB Class Youth Recreation,60,0,Standard charge: $60.00,"Get the extra support  for reading, writing, and spelling you need to succeed! Bring in your favorite book,  workbook, or spelling list and we'll work together to boost confidence in a fun  and judgement free zone. Paper, pencils, and some reading material will also be  available.",http://apm.activecommunities.com/seattle/Activity_Search/67346
67347,73166,Tutoring Thursdays (5-10yrs) - 3:30 Session 2,Winter 2025,Winter 2025: Term 2,Activity,"Academic Preparedness, Career & Cont. Ed",Youth,,5,6,0,2/20/2025,3/27/2025,3:30 PM,4:30 PM,5,0,0,11,0,0,,,Th,,5,5,Meadowbrook CC Room 22 - Medium at Meadowbrook Community Center,Activity Fee,MB Class Youth Recreation,60,0,Standard charge: $60.00,"Get the extra support  for reading, writing, and spelling you need to succeed! Bring in your favorite book,  workbook, or spelling list and we'll work together to boost confidence in a fun  and judgement free zone. Paper, pencils, and some reading material will also be  available.",http://apm.activecommunities.com/seattle/Activity_Search/67347
71371,77191,BL- Red Cross Lifeguard Course,Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,5,10,5,1/28/2025,2/16/2025,7:30 PM,5:30 PM,15,0,0,0,0,0,,,Su Tu,,26.5,4,Meadowbrook Pool Lobby at Meadowbrook Pool,Activity Fee,MBP Lesson,300,199,Member: $150.00. Non-member: $300.00,"Activity Fee: $300.00 Blended Learning American Red Cross Lifeguard Course.Participants will need to pass the pre-test on the first day to continue with the Lifeguard Course. After passing the minimum water skills to participate, we will give you your online classroom access to complete before the next meeting date.Pretest Requirements can be found at: www.seattle.gov/Parks/aquatics/training.htmWelcome to LifeguardingTo successfully complete and obtain a certification in American Red Cross Lifeguarding, participants will need to complete all online materials, pass all written and physical tests, and attend every in-person session for the course. **100% attendance required. No make up lessons allowed.**",http://apm.activecommunities.com/seattle/Activity_Search/71371
71372,77192,BL- Red Cross Lifeguard Course,Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,5,10,8,2/25/2025,3/16/2025,7:30 PM,5:30 PM,15,0,0,0,0,0,,,Su Tu,,26.5,4,Meadowbrook Pool Lobby at Meadowbrook Pool,Activity Fee,MBP Lesson,300,199,Member: $150.00. Non-member: $300.00,"Activity Fee: $300.00 Blended Learning American Red Cross Lifeguard Course.Participants will need to pass the pre-test on the first day to continue with the Lifeguard Course. After passing the minimum water skills to participate, we will give you your online classroom access to complete before the next meeting date.Pretest Requirements can be found at: www.seattle.gov/Parks/aquatics/training.htmWelcome to LifeguardingTo successfully complete and obtain a certification in American Red Cross Lifeguarding, participants will need to complete all online materials, pass all written and physical tests, and attend every in-person session for the course. **100% attendance required. No make up lessons allowed.**",http://apm.activecommunities.com/seattle/Activity_Search/71372
73190,79028,BL- Red Cross Lifeguard Course,Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,5,10,8,3/25/2025,5/3/2025,7:15 PM,7:00 PM,15,0,0,0,0,0,,,Tu Th Sa,,26.5,7,Southwest Pool - Deck at Southwest Pool,Activity Fee,SWP Lesson,300,199,Member: $150.00. Non-member: $300.00,"Activity Fee: $300.00 Blended Learning American Red Cross Lifeguard Course.Participants will need to pass the pre-test on the first day to continue with the Lifeguard Course. After passing the minimum water skills to participate, we will give you your online classroom access to complete before the next meeting date.Pretest Requirements can be found at: www.seattle.gov/Parks/aquatics/training.htmWelcome to LifeguardingTo successfully complete and obtain a certification in American Red Cross Lifeguarding, participants will need to complete all online materials, pass all written and physical tests, and attend every in-person session for the course. **100% attendance required. No make up lessons allowed.**",http://apm.activecommunities.com/seattle/Activity_Search/73190
68933,74752,Learn to Dive ? Intro to Diving,Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,4,7,7,1/6/2025,2/10/2025,5:00 PM,5:30 PM,6,0,0,18,0,0,,,M,,2.5,5,Meadowbrook Pool Lane #3 at Meadowbrook Pool,Activity Fee,MBP Lesson,60,30,Member: $30.00. Non-member: $60.00,"Please contact the pool for a pretest. Swimmer must have passed Beginning Swimmer to register for this activity.The Objectives are to introduce and practice basic fundamental springboard diving drills, practices and skills. For youth 6-17 years old and must be proficient in the exit skills for Beginning Swim level 3. (Level 3 exit skills: Jump into deep water from the side, swim front crawl for 15 yards, maintain position by treading or floating for 30 seconds and swim elementary backstroke for 15 yards)Diving is a sport that involves entering the water from a springboard or platform. In competitive diving, the diver performs acrobatic moves such as somersaults or twists during the flight through the air. However, even for non-competitive divers who are only interested in diving headfirst from a springboard at the local pool or swim club, learning proper technique is important.",http://apm.activecommunities.com/seattle/Activity_Search/68933
68935,74754,Learn to Dive ? Intro to Diving,Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,4,7,7,1/8/2025,2/12/2025,5:00 PM,5:30 PM,6,0,0,18,0,0,,,W,,3,6,Meadowbrook Pool Lane #3 at Meadowbrook Pool,Activity Fee,MBP Lesson,72,36,Member: $36.00. Non-member: $72.00,"Please contact the pool for a pretest. Swimmer must have passed Beginning Swimmer to register for this activity.The Objectives are to introduce and practice basic fundamental springboard diving drills, practices and skills. For youth 6-17 years old and must be proficient in the exit skills for Beginning Swim level 3. (Level 3 exit skills: Jump into deep water from the side, swim front crawl for 15 yards, maintain position by treading or floating for 30 seconds and swim elementary backstroke for 15 yards)Diving is a sport that involves entering the water from a springboard or platform. In competitive diving, the diver performs acrobatic moves such as somersaults or twists during the flight through the air. However, even for non-competitive divers who are only interested in diving headfirst from a springboard at the local pool or swim club, learning proper technique is important.",http://apm.activecommunities.com/seattle/Activity_Search/68935
68942,74761,Learn to Dive ? Intro to Diving,Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,4,7,7,2/24/2025,3/24/2025,5:00 PM,5:30 PM,6,0,0,18,0,0,,,M,,2.5,5,Meadowbrook Pool Lane #3 at Meadowbrook Pool,Activity Fee,MBP Lesson,60,30,Member: $30.00. Non-member: $60.00,"Please contact the pool for a pretest. Swimmer must have passed Beginning Swimmer to register for this activity.The Objectives are to introduce and practice basic fundamental springboard diving drills, practices and skills. For youth 6-17 years old and must be proficient in the exit skills for Beginning Swim level 3. (Level 3 exit skills: Jump into deep water from the side, swim front crawl for 15 yards, maintain position by treading or floating for 30 seconds and swim elementary backstroke for 15 yards)Diving is a sport that involves entering the water from a springboard or platform. In competitive diving, the diver performs acrobatic moves such as somersaults or twists during the flight through the air. However, even for non-competitive divers who are only interested in diving headfirst from a springboard at the local pool or swim club, learning proper technique is important.",http://apm.activecommunities.com/seattle/Activity_Search/68942
68943,74762,Learn to Dive ? Intro to Diving,Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,4,7,7,2/19/2025,3/26/2025,5:00 PM,5:30 PM,6,0,0,18,0,0,,,W,,3,6,Meadowbrook Pool Lane #3 at Meadowbrook Pool,Activity Fee,MBP Lesson,72,36,Member: $36.00. Non-member: $72.00,"Please contact the pool for a pretest. Swimmer must have passed Beginning Swimmer to register for this activity.The Objectives are to introduce and practice basic fundamental springboard diving drills, practices and skills. For youth 6-17 years old and must be proficient in the exit skills for Beginning Swim level 3. (Level 3 exit skills: Jump into deep water from the side, swim front crawl for 15 yards, maintain position by treading or floating for 30 seconds and swim elementary backstroke for 15 yards)Diving is a sport that involves entering the water from a springboard or platform. In competitive diving, the diver performs acrobatic moves such as somersaults or twists during the flight through the air. However, even for non-competitive divers who are only interested in diving headfirst from a springboard at the local pool or swim club, learning proper technique is important.",http://apm.activecommunities.com/seattle/Activity_Search/68943
68127,73946,Learn To Dive-Intro to Diving,Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,4,8,8,1/12/2025,2/16/2025,2:05 PM,2:50 PM,9,0,0,17,0,0,,,Su,,4.5,6,Ballard Pool Lane #2 at Ballard Pool,Activity Fee,BALP Lesson,108,54,Member: $54.00. Non-member: $108.00,"Please contact the pool for a pretest. Swimmer must have passed Beginning Swimmer to register for this activity.The objectives are to introduce and practice basic fundamental springboard diving drills, practices, and skills. For youth 6-14 years old and must be proficient in swimming strokes through level 5. Diving is a sport that involves entering the water from a springboard or platform. In competitive diving, the diver performs acrobatic moves such as somersaults or twists during the flight through the air. However, even for non-competitive divers who are only interested in diving headfirst from a springboard at the local pool or swim club, learning proper technique is important.   (The American Red Cross Swim App is a great tool to track your swimmer's progression through skills learned. Students are grouped by skills rather than levels. It is a free mobile download for Android and Apple devices. Text SWIM to 90999 for the link to download) ",http://apm.activecommunities.com/seattle/Activity_Search/68127
68128,73947,Learn To Dive-Intro to Diving,Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,4,8,7,2/23/2025,3/30/2025,2:05 PM,2:50 PM,9,0,0,17,0,0,,,Su,,4.5,6,Ballard Pool Lane #2 at Ballard Pool,Activity Fee,BALP Lesson,108,54,Member: $54.00. Non-member: $108.00,"Please contact the pool for a pretest. Swimmer must have passed Beginning Swimmer to register for this activity.The objectives are to introduce and practice basic fundamental springboard diving drills, practices, and skills. For youth 6-14 years old and must be proficient in swimming strokes through level 5. Diving is a sport that involves entering the water from a springboard or platform. In competitive diving, the diver performs acrobatic moves such as somersaults or twists during the flight through the air. However, even for non-competitive divers who are only interested in diving headfirst from a springboard at the local pool or swim club, learning proper technique is important.   (The American Red Cross Swim App is a great tool to track your swimmer's progression through skills learned. Students are grouped by skills rather than levels. It is a free mobile download for Android and Apple devices. Text SWIM to 90999 for the link to download) ",http://apm.activecommunities.com/seattle/Activity_Search/68128
69684,75503,Learn To Dive-Intro to Diving,Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,4,8,3,1/12/2025,2/16/2025,12:15 PM,1:00 PM,9,0,0,17,0,0,,,Su,,4.5,6,Ballard Pool Lane #2 at Ballard Pool,Activity Fee,BALP Lesson,108,54,Member: $54.00. Non-member: $108.00,"Please contact the pool for a pretest. Swimmer must have passed Beginning Swimmer to register for this activity.The objectives are to introduce and practice basic fundamental springboard diving drills, practices, and skills. For youth 9-17 years old and must be proficient in swimming strokes through level 5. Diving is a sport that involves entering the water from a springboard or platform. In competitive diving, the diver performs acrobatic moves such as somersaults or twists during the flight through the air. However, even for non-competitive divers who are only interested in diving headfirst from a springboard at the local pool or swim club, learning proper technique is important.   (The American Red Cross Swim App is a great tool to track your swimmer's progression through skills learned. Students are grouped by skills rather than levels. It is a free mobile download for Android and Apple devices. Text SWIM to 90999 for the link to download) ",http://apm.activecommunities.com/seattle/Activity_Search/69684
69685,75504,Learn To Dive-Intro to Diving,Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,4,8,6,2/23/2025,3/30/2025,12:15 PM,1:00 PM,9,0,0,17,0,0,,,Su,,4.5,6,Ballard Pool Lane #2 at Ballard Pool,Activity Fee,BALP Lesson,108,54,Member: $54.00. Non-member: $108.00,"Please contact the pool for a pretest. Swimmer must have passed Beginning Swimmer to register for this activity.The objectives are to introduce and practice basic fundamental springboard diving drills, practices, and skills. For youth 9-17 years old and must be proficient in swimming strokes through level 5. Diving is a sport that involves entering the water from a springboard or platform. In competitive diving, the diver performs acrobatic moves such as somersaults or twists during the flight through the air. However, even for non-competitive divers who are only interested in diving headfirst from a springboard at the local pool or swim club, learning proper technique is important.   (The American Red Cross Swim App is a great tool to track your swimmer's progression through skills learned. Students are grouped by skills rather than levels. It is a free mobile download for Android and Apple devices. Text SWIM to 90999 for the link to download) ",http://apm.activecommunities.com/seattle/Activity_Search/69685
68426,74245,Learn To Dive?Advanced Diving (Sun-A 8:00am),Winter 2025,Winter 2025: Term 2,Activity,Aquatics,,,4,10,8,1/5/2025,2/16/2025,8:00 AM,9:00 AM,6,0,0,0,0,0,,,Su,,7,7,Madison Pool - Lane #1 at Madison Pool,Activity Fee,MADP Lesson,168,84,Member: $84.00. Non-member: $168.00,"  Please contact the pool for a pretest. Swimmer must have passed Beginning Swimmer to register for this activity. They must also be able to demonstrate a Forward Dive Tuck with a full forward approach and a Back Jump Tuck with a full back press on the board.The objectives are to build from basic diving skills learned in the previous courses to develop a more fine-tuned and safety awareness diver. The minimum age for this class is 6, and they must be proficient in Intro to diving exit skills. (Intro to Diving Exit skill prerequisite: Forward tuck dive with approach/hurdle and back press with back jump.)Diving is a sport that involves entering the water from a springboard or platform. In competitive diving, the diver performs acrobatic moves such as somersaults or twists during the flight through the air. However, even for non-competitive divers who are only interested in diving headfirst from a springboard at the local pool or swim club, learning proper technique is important.",http://apm.activecommunities.com/seattle/Activity_Search/68426
